index;name;rmse;mae;mse;fcp;HR;cHR;ARHR;Coverage;Diversity;Novelty
0;NormalPred;0.32720139284026795;0.1788182511064497;0.10706075147661134;0.49022703661324285;0.0007676560900716479;0.0007676560900716479;0.00063971340839304;0.43500511770726713;0.5732798393543993;85.55263157894737
1;baseLineALS;0.2521768139877714;0.09729836444414412;0.06359314551302307;0.5496462142661399;0.0;0.0;0.0;0.007676560900716479;0.5774647887323944;1.9263803680981595
2;baseLineSGD;0.25861083692902315;0.10503046545039837;0.0668795649771298;0.5633494340121203;0.0;0.0;0.0;0.0;1.0;0.0
3;KNNBasicALS;0.2678226055537147;0.09493697978044766;0.07172894804558064;0.5401042617076358;0.0023029682702149436;0.0023029682702149436;0.0005672125554418288;1.0;0.8587908840841685;4.236834024259174
4;KNNBasicSimsCos;0.25656387253121476;0.0906866405229355;0.06582502068821343;0.4976959374487937;0.0005117707267144319;0.0005117707267144319;0.00016449773358678167;0.36003070624360284;0.8902564870832018;5.656648232748257
5;KNNBasicSimsMsd;0.25649482868313167;0.09025510432321193;0.06578959714118907;0.5006925335664304;0.0010235414534288639;0.0010235414534288639;0.000810303650631184;0.36207778915046057;0.8942640237632858;5.171360381861575
6;KNNBasicPearson;0.3225303194563214;0.12420598052690651;0.10402580696859672;0.5415192264325935;0.010491299897645854;0.010491299897645854;0.004465605757826842;0.8185772773797338;0.4108419156658253;104.66952149229522
7;SVD;0.2558478211971288;0.10558983664070799;0.06545810761131797;0.558120200706328;0.0005117707267144319;0.0005117707267144319;0.0005117707267144319;0.004350051177072671;0.877202338113758;59.5
8;SVDpp;0.2531127947959122;0.09842948983058296;0.06406608688939756;0.5409412723401397;0.00025588536335721597;0.00025588536335721597;0.00012794268167860799;0.007420675537359263;0.8359438017192982;33.05298013245033
9;NMF;0.2550940222677075;0.07129118820964868;0.06507296019671764;0.5393346450333842;0.0010235414534288639;0.0010235414534288639;0.00020897304674172637;1.0;0.6650427720778388;1.537057057057057
